nk_Deal,annual_interest_rate,nb_TotalPayments,dt_LastPaymentDate,dt_LoanStartDate,dt_NextPaymentDate,am_EstimatedBalance
408,5.95,56,10/05/2023,17/06/2021,12/02/2024,72186.74
409,3.92,34,03/03/2024,12/03/2019,06/10/2023,85075.02
410,7.48,36,31/07/2023,03/09/2021,23/02/2024,129143.72
411,11.02,36,19/02/2024,18/03/2020,04/03/2024,124906.42
412,5.44,53,23/04/2023,12/12/2022,15/02/2024,50752.26
413,5.38,35,29/03/2023,08/07/2023,09/09/2023,149968.76
414,3.48,53,28/04/2023,30/12/2023,17/04/2023,35118.95
415,6.52,55,21/02/2024,19/09/2021,14/03/2024,127541.78
416,4.25,49,09/04/2023,11/01/2021,01/03/2024,30927.47
417,8.85,42,13/11/2023,05/12/2018,21/07/2023,92395.06
418,3.3,45,17/09/2023,23/06/2023,29/06/2023,50851.86
419,11.93,59,28/09/2023,22/11/2022,27/12/2023,145004.46
420,5.73,58,09/11/2023,22/12/2020,27/10/2023,32452.14
421,6.83,32,19/05/2023,11/07/2019,22/07/2023,25533.59
422,8.91,41,27/06/2023,10/11/2022,21/03/2024,135171.82
423,5.65,34,02/09/2023,09/02/2022,13/01/2024,16709.92
424,2.4,46,09/02/2023,28/03/2022,10/04/2023,59380.83
425,9.45,51,17/07/2023,29/05/2019,29/11/2023,88228.34
426,6.5,49,27/03/2023,04/10/2023,28/06/2023,125328.09
427,7.99,43,30/09/2023,07/05/2023,06/07/2023,134337.41
428,9.59,33,15/08/2023,05/07/2019,18/07/2023,29603.01
429,6,51,18/03/2023,01/10/2021,06/12/2023,45986.01
430,8.41,34,26/06/2023,21/02/2022,27/07/2023,125061.48
431,9.78,36,08/07/2023,17/02/2022,14/12/2023,83833.59
432,5.64,48,06/05/2023,09/08/2019,14/01/2024,3126.45
433,10.87,54,13/05/2023,01/01/2019,29/08/2023,36133.2
434,5.69,60,12/02/2023,14/01/2023,05/12/2023,47290.38
435,3.18,31,05/10/2023,23/05/2021,29/12/2023,88929.64
436,6.47,56,23/07/2023,18/12/2020,09/03/2024,49697.51
437,2.34,34,12/09/2023,23/06/2019,21/04/2024,37577.39
438,9.74,39,05/11/2023,29/05/2019,06/04/2023,58393.58
439,2.3,55,02/05/2023,21/06/2023,26/10/2023,73416.74
440,3.1,32,09/01/2024,03/03/2021,28/06/2023,90559.89
441,2.75,36,25/02/2024,13/07/2023,15/04/2023,71517.95
442,6.77,53,27/01/2024,25/06/2020,24/09/2023,12181.71
443,6.78,32,26/02/2024,06/11/2023,29/04/2024,29804.91
444,7.74,38,29/09/2023,06/07/2021,21/11/2023,35837.24
445,8.65,44,09/03/2023,19/10/2020,02/03/2024,110988.71
446,4.7,47,18/10/2023,01/11/2019,11/06/2023,38404.37
447,5.29,31,23/06/2023,27/09/2020,30/07/2023,38518.95
448,8.48,38,10/11/2023,14/02/2020,28/03/2024,101731.87
449,10.38,55,09/01/2024,26/11/2021,08/10/2023,8406.56
450,6.5,37,15/11/2023,29/10/2021,24/02/2024,19981.79
451,4.67,33,04/04/2023,30/10/2022,10/10/2023,36259.39
452,2.17,42,06/02/2024,10/11/2019,19/10/2023,100735.97
453,4.3,31,10/07/2023,16/08/2019,22/07/2023,100031.04
454,7.13,44,23/06/2023,12/09/2020,05/05/2023,73190.19
455,11.34,35,13/12/2023,25/10/2023,24/02/2024,89204.29
456,3.28,31,05/04/2023,08/04/2021,27/08/2023,24909.11
457,10.98,52,31/01/2024,17/03/2020,14/03/2024,136470.6
458,9.56,51,22/08/2023,19/12/2018,20/08/2023,5431.13
459,8.27,55,28/03/2023,14/12/2022,07/11/2023,95900.65
460,10.36,51,25/04/2023,28/08/2022,12/01/2024,6050.34
461,4.7,59,24/11/2023,25/07/2020,19/12/2023,18652.11
462,4.68,36,20/03/2023,15/10/2019,31/01/2024,149126.43
463,11.36,33,06/07/2023,30/08/2020,23/12/2023,140738.19
464,11.56,36,15/11/2023,06/09/2019,29/08/2023,95637.46
465,7.85,52,12/05/2023,21/07/2019,04/04/2024,56652.44
466,9.55,35,20/02/2024,13/11/2022,11/11/2023,10728.9
467,8.29,48,07/10/2023,29/01/2022,09/04/2024,98713.39
468,11.94,39,29/05/2023,19/02/2024,02/04/2024,112418.11
469,6.63,41,06/08/2023,28/09/2022,04/05/2023,103843.41
470,4.42,45,01/03/2023,11/08/2021,14/10/2023,93813.81
471,4.86,52,22/09/2023,09/07/2022,12/12/2023,118738.97
472,11.59,38,11/02/2023,25/01/2023,21/10/2023,31944.92
473,10.5,30,06/09/2023,19/07/2020,23/02/2024,119166.28
474,4.29,36,01/03/2024,30/12/2020,26/10/2023,111156
475,2.92,54,26/08/2023,31/10/2022,02/10/2023,80480.19
476,9.91,49,07/06/2023,22/08/2021,02/08/2023,73828.81
477,11.69,53,02/02/2023,11/03/2024,22/02/2024,25488.93
478,10.65,38,23/05/2023,09/09/2020,05/09/2023,79484.9
479,2.99,41,27/10/2023,28/04/2023,13/11/2023,12295.68
480,9.69,55,03/05/2023,05/08/2021,16/06/2023,21676.18
481,8.87,44,02/11/2023,24/03/2022,09/02/2024,64422.98
482,11.08,44,08/10/2023,24/11/2023,02/01/2024,11832.05
483,9.4,56,29/07/2023,04/12/2018,10/03/2024,69032.07
484,8.69,46,21/06/2023,25/11/2018,01/12/2023,39333.7
485,4.39,33,22/06/2023,22/03/2020,08/07/2023,104637.93
486,10,47,03/04/2023,25/05/2021,02/10/2023,44235.22
487,7.3,31,26/07/2023,22/06/2020,05/08/2023,147223.2
488,4.97,56,18/02/2024,02/03/2020,06/11/2023,73325.94
489,10.09,51,02/08/2023,16/07/2020,04/08/2023,44723.9
490,7.01,44,24/02/2024,06/12/2020,05/10/2023,124299.54
491,5.08,56,08/10/2023,08/09/2019,20/01/2024,17158.48
492,10.08,55,06/10/2023,11/10/2023,16/10/2023,93904.54
493,2.91,30,14/08/2023,04/08/2020,18/06/2023,145655.62
494,2.75,33,14/06/2023,09/06/2019,27/11/2023,76715.16
495,11.21,33,17/07/2023,16/06/2020,17/03/2024,116810.92
496,4.75,41,11/12/2023,07/06/2021,24/12/2023,81078.6
497,10.33,32,01/06/2023,09/09/2021,12/09/2023,101439.18
498,11.99,39,10/03/2024,11/04/2022,27/10/2023,127341.97
499,7.42,42,10/11/2023,15/12/2018,05/04/2023,118202.06
500,10.79,54,17/05/2023,23/10/2021,18/04/2023,83207.18
501,7.74,59,08/06/2023,15/03/2020,12/12/2023,17407.24
502,11.32,50,19/06/2023,25/05/2021,10/09/2023,142810.33
503,9.87,43,08/04/2023,15/09/2021,18/04/2024,149295.2
504,2.4,35,11/04/2023,16/02/2022,19/01/2024,42094.29
505,2.93,41,31/07/2023,06/04/2020,26/05/2023,143923.06
506,10.2,58,03/06/2023,06/10/2019,14/04/2024,64183.16
507,7.5,54,07/12/2023,16/07/2020,02/03/2024,68560.96
508,11.38,54,09/03/2024,05/12/2023,25/07/2023,119585.78
509,9.15,57,20/11/2023,23/10/2022,01/06/2023,84160.62
510,4.19,55,19/08/2023,12/03/2023,27/04/2024,133296.98
511,7.33,35,20/04/2023,30/03/2019,07/06/2023,47082.14
512,9.06,47,31/10/2023,28/07/2021,18/04/2024,65699.98
513,10.74,39,12/11/2023,14/04/2020,30/04/2023,124984.4
514,10.57,59,25/04/2023,22/04/2022,12/02/2024,37877.52
515,9.34,41,20/09/2023,21/11/2018,13/08/2023,66261.55
516,7.1,52,12/03/2024,10/04/2019,29/03/2024,110223.53
517,4.52,34,19/02/2024,20/10/2021,10/04/2024,39967.36
518,9.51,48,01/03/2023,17/04/2022,08/07/2023,60630.48
519,11.58,44,31/10/2023,15/06/2020,23/08/2023,48756.05
520,3.3,48,11/01/2024,07/05/2021,04/01/2024,75854.39
521,10.6,32,02/08/2023,15/06/2023,04/12/2023,12860.56
522,11.24,59,16/03/2023,18/11/2023,08/12/2023,45515.75
523,10.15,45,21/04/2023,28/01/2023,15/03/2024,53658.55
524,10.09,51,19/06/2023,23/04/2022,12/12/2023,16959.5
525,6.65,36,04/04/2023,18/11/2022,08/09/2023,86682.6
526,2.5,37,21/10/2023,17/05/2019,14/04/2023,33913.01
527,4.78,45,03/03/2023,21/04/2022,18/06/2023,15883.01
528,10.81,52,13/09/2023,09/08/2020,16/04/2024,68908.72
529,6.13,52,10/01/2024,14/09/2020,15/03/2024,52105.49
530,10.57,52,03/08/2023,12/12/2018,21/08/2023,9602.55
531,7.93,40,08/02/2024,30/11/2020,10/01/2024,52837.56
532,10.52,48,01/02/2023,17/06/2019,13/06/2023,27597.72
533,11.88,45,11/09/2023,14/05/2019,04/05/2023,14106.3
534,3.56,40,23/03/2023,15/07/2022,24/03/2024,22828.05
535,10.3,46,09/03/2024,27/10/2022,04/03/2024,93800.32
536,4.66,48,20/01/2024,25/07/2020,04/01/2024,104083.58
537,9.38,45,16/01/2024,15/12/2022,20/10/2023,88213.19
538,8.05,39,06/02/2024,12/10/2021,07/04/2024,139777.14
539,8.71,57,14/02/2024,05/04/2022,26/10/2023,70715.17
540,7.38,42,01/02/2024,29/12/2022,13/03/2024,44729
541,6.36,39,30/06/2023,31/12/2018,26/06/2023,145396.29
542,9.56,32,23/09/2023,03/06/2019,28/03/2024,82405.53
543,4.07,36,05/03/2023,20/12/2020,23/10/2023,135120.02
544,10.55,32,21/07/2023,22/12/2023,10/09/2023,36819.28
545,9.15,38,16/09/2023,16/11/2021,20/02/2024,129268.89
546,7.99,49,09/09/2023,01/05/2019,01/07/2023,23882.74
547,9.92,41,12/08/2023,09/06/2021,03/04/2023,18672.36
548,4.41,37,10/02/2024,29/06/2022,29/10/2023,36866.57
549,10.7,48,16/05/2023,28/11/2022,13/01/2024,113218.26
550,3.52,30,06/12/2023,26/03/2020,07/05/2023,98161.19
551,3.54,36,30/03/2023,08/06/2020,12/09/2023,101013.07
552,4.43,54,24/02/2023,13/01/2019,30/11/2023,40145.18
553,11.73,51,23/09/2023,05/11/2021,10/10/2023,36731.45
554,5.53,41,16/11/2023,06/01/2022,26/11/2023,143330.33
555,10.66,56,13/05/2023,07/03/2020,18/04/2024,141812.34
556,6.03,60,02/12/2023,12/09/2020,18/09/2023,7152.89
557,11.82,32,21/12/2023,12/07/2019,27/01/2024,118152.9
558,8.49,50,12/04/2023,06/09/2022,14/06/2023,125749.92
559,4.36,54,04/03/2024,19/12/2022,02/01/2024,90845.77
560,7.05,58,05/12/2023,27/11/2022,15/04/2024,81345.25
561,8.01,57,05/02/2023,19/06/2020,02/04/2023,110270.22
562,7.1,45,02/12/2023,03/06/2023,05/09/2023,137419.77
563,4.38,59,22/12/2023,18/02/2024,28/07/2023,17210.21
564,6.62,40,02/03/2024,08/03/2019,21/12/2023,47845.47
565,10.58,59,18/05/2023,23/02/2020,02/08/2023,50427.96
566,6.39,35,27/05/2023,08/02/2023,12/06/2023,28038.78
567,3.28,46,14/03/2024,08/12/2022,26/04/2023,11571.43
568,10.99,36,02/11/2023,16/09/2019,05/04/2023,118756.46
569,3.76,52,11/02/2023,28/07/2023,23/12/2023,63137.73
570,11.21,45,14/06/2023,25/07/2021,09/11/2023,63575.7
571,10.76,49,07/07/2023,27/07/2022,14/03/2024,14821.92
572,4.14,55,29/05/2023,22/02/2019,24/05/2023,6056.92
573,8.16,37,13/01/2024,11/02/2024,07/05/2023,27606.97
574,8.14,49,13/12/2023,30/08/2022,10/09/2023,58592.93
575,5.47,38,15/02/2023,24/09/2020,26/12/2023,115095.19
576,8.47,45,04/02/2023,06/05/2019,12/10/2023,6881.71
577,5.53,36,16/03/2023,14/02/2023,22/03/2024,87645.93
578,2.62,47,11/01/2024,13/10/2023,06/04/2024,137071.56
579,2.45,39,06/07/2023,17/10/2023,02/11/2023,11814.42
580,2.46,43,10/04/2023,05/11/2022,10/06/2023,12198.71
581,5.14,49,09/10/2023,15/08/2023,30/04/2023,18088.46
582,2.08,43,08/07/2023,18/09/2022,23/12/2023,94154.58
583,10.15,39,11/06/2023,20/08/2019,20/04/2023,120398.66
584,11.32,59,25/07/2023,16/03/2019,10/11/2023,110458.07
585,3.85,47,17/10/2023,08/07/2021,26/02/2024,31017.22
586,3.03,43,22/10/2023,02/08/2020,22/08/2023,111869.1
587,7.39,34,18/08/2023,02/12/2019,03/12/2023,45458.49
588,6.94,40,03/03/2023,21/01/2021,21/04/2024,71666.93
589,9.04,48,18/12/2023,17/01/2023,21/07/2023,84628.72
590,6.09,30,01/11/2023,10/03/2019,16/09/2023,8984.92
591,6.02,43,29/09/2023,21/08/2023,15/07/2023,138435.35
592,4.99,37,15/12/2023,01/03/2022,01/02/2024,11093.77
593,9.64,42,16/08/2023,03/11/2023,06/09/2023,119675.7
594,11.18,51,10/04/2023,27/02/2024,17/02/2024,19452.76
595,4.43,41,28/07/2023,25/11/2022,29/06/2023,78907.3
596,4.68,35,04/03/2023,26/03/2024,08/12/2023,33594.44
597,8.82,30,07/05/2023,30/10/2023,29/08/2023,88660.71
598,11.6,58,02/01/2024,26/01/2021,03/12/2023,13162.65
599,11.46,31,25/12/2023,09/11/2023,18/06/2023,71054.28
600,11.09,30,01/04/2023,02/11/2021,06/09/2023,29023.31
601,8.45,53,30/01/2024,04/11/2022,29/06/2023,126171.58
602,6.4,54,11/07/2023,09/10/2020,12/01/2024,40352.43
603,4.45,54,18/06/2023,03/10/2022,05/04/2024,23357.16
604,9.87,60,06/02/2024,08/02/2020,06/11/2023,65372.34
605,5.09,40,04/12/2023,07/01/2023,29/04/2023,83655.17
606,5.63,35,26/05/2023,31/12/2021,29/08/2023,112663.3
607,5.22,49,19/08/2023,06/02/2023,19/08/2023,70124.12
608,10.13,58,25/12/2023,02/03/2022,04/03/2024,54057.03
609,10.25,56,30/11/2023,13/12/2021,06/04/2023,96497.92
610,11.02,55,02/12/2023,19/07/2021,10/07/2023,97817.58
611,10.51,45,27/12/2023,25/07/2023,21/03/2024,27855.54
612,6.08,43,13/09/2023,27/01/2022,31/07/2023,118340.42
613,4.6,59,20/04/2023,31/07/2022,08/10/2023,3642.99
614,5.75,50,12/11/2023,10/12/2019,29/05/2023,7130.56
615,3.76,49,27/02/2024,10/02/2022,19/07/2023,97591.62
616,3.92,51,12/05/2023,25/01/2024,16/08/2023,31339.96
617,6.77,31,14/09/2023,22/12/2020,30/11/2023,104526.91
618,10,42,15/10/2023,05/11/2021,06/06/2023,5021.95
619,9.39,42,13/07/2023,22/06/2022,30/01/2024,122494.6
620,8.3,37,06/02/2024,13/03/2024,23/04/2024,89905.03
621,7.65,46,07/07/2023,21/06/2020,26/01/2024,65117.06
622,5.3,31,18/02/2023,07/12/2020,03/02/2024,52661.37
623,7.02,43,01/05/2023,28/02/2023,11/05/2023,69916.29
624,2.44,31,24/05/2023,30/07/2022,31/08/2023,27640.46
625,10.94,60,14/02/2024,07/03/2019,23/07/2023,120334.17
626,6.61,53,02/03/2023,19/01/2022,30/04/2023,14543.1
627,3.24,36,26/10/2023,30/05/2022,04/09/2023,111473.19
628,9.37,40,16/02/2023,21/05/2023,22/05/2023,125540.69
629,11.27,48,10/01/2024,04/11/2020,12/05/2023,63517.13
630,7.64,30,27/05/2023,11/10/2023,28/10/2023,101110.93
631,7.13,56,29/05/2023,23/12/2023,30/08/2023,110486.75
632,3.75,58,28/05/2023,08/12/2022,28/04/2023,114049.36
633,3.52,54,08/02/2024,10/01/2023,18/05/2023,140519.17
634,2.12,34,01/03/2024,17/04/2021,14/08/2023,107419.86
635,11.75,42,08/06/2023,14/11/2022,05/06/2023,103757.11
636,6.37,43,17/08/2023,17/02/2021,12/01/2024,140710.57
637,3.17,45,27/12/2023,31/12/2020,26/03/2024,88765.61
638,3.48,32,09/08/2023,11/01/2022,01/11/2023,64870.31
639,6.21,59,08/01/2024,08/07/2021,13/03/2024,42266.89
640,2.71,39,04/02/2023,02/05/2022,28/02/2024,26343.44
641,5.72,34,01/11/2023,24/01/2019,14/04/2023,48466.15
642,7.34,36,28/02/2024,10/10/2020,01/12/2023,4109.61
643,6.16,39,05/03/2024,27/05/2021,26/04/2024,14500.65
644,4.03,44,19/04/2023,15/09/2021,20/05/2023,66562.68
645,3.25,39,14/01/2024,12/09/2021,10/05/2023,108228.45
646,9.72,59,17/09/2023,23/07/2022,06/08/2023,22409.95
647,4.76,34,13/04/2023,01/03/2021,08/03/2024,144350.36
648,4.74,31,20/08/2023,31/12/2022,26/12/2023,88574.68
649,7.47,44,03/07/2023,12/09/2020,17/04/2023,147353.76
650,7.77,33,13/05/2023,24/08/2019,10/06/2023,137097.96
651,8.88,55,16/09/2023,11/12/2021,22/04/2024,3071.06
652,11.29,42,27/06/2023,17/02/2023,15/02/2024,26394.42
653,4.27,37,29/09/2023,07/12/2023,04/10/2023,146054.11
654,11.21,43,28/06/2023,08/09/2022,21/04/2023,45213.51
655,10.98,40,29/01/2024,17/07/2023,02/04/2024,11296.68
656,2.11,42,03/05/2023,23/09/2021,15/04/2023,90907.98
657,3.3,35,25/12/2023,26/02/2020,08/01/2024,3642.43
658,7.94,33,10/05/2023,12/10/2021,11/07/2023,73405.89
659,2.83,34,26/05/2023,23/03/2024,29/06/2023,91955.68
660,10.77,57,30/03/2023,13/11/2023,04/08/2023,75241.31
661,2.91,33,14/02/2023,30/01/2020,05/07/2023,15734.09
662,10.87,43,13/03/2023,29/03/2022,29/11/2023,102854.33
663,10.47,38,12/07/2023,21/02/2024,24/03/2024,93874.18
664,6.11,32,11/07/2023,01/07/2022,04/04/2023,76419.5
665,3.62,50,21/11/2023,19/07/2021,13/11/2023,59144.3
666,9.96,58,09/03/2024,09/12/2019,26/06/2023,108192.65
667,7.67,54,06/09/2023,27/10/2023,26/04/2023,87724.97
668,5.37,37,19/03/2023,29/11/2019,29/04/2023,29656.23
669,2.4,35,30/03/2023,15/01/2022,21/05/2023,94516.01
670,10.86,31,14/05/2023,20/10/2019,03/06/2023,65039.4
671,5.26,41,08/02/2024,16/07/2023,22/09/2023,20544.63
672,8.57,55,11/02/2024,30/04/2020,14/05/2023,108738.38
673,9.6,36,31/08/2023,18/12/2018,04/03/2024,39024.64
674,3.51,46,19/04/2023,12/10/2022,14/11/2023,51458.88
675,6.36,38,04/04/2023,19/03/2021,03/08/2023,74261.91
676,5.22,41,14/11/2023,02/02/2021,02/10/2023,35701.55
677,6.8,34,01/08/2023,16/01/2019,23/09/2023,54995.33
678,6.38,39,28/03/2023,19/05/2022,20/04/2024,77340.49
679,7.13,32,25/11/2023,22/08/2021,18/03/2024,113805.4
680,10.45,42,30/10/2023,21/09/2020,29/08/2023,44246.33
681,2.38,50,30/04/2023,12/08/2020,28/06/2023,92949.03
682,6.19,44,23/02/2023,18/01/2024,21/02/2024,137619.63
683,6.69,40,07/02/2024,26/06/2022,23/04/2023,133782.35
684,9.03,30,04/02/2024,05/11/2019,13/04/2024,83192.81
685,2.9,42,28/05/2023,04/07/2020,16/06/2023,37026.85
686,3.89,55,20/12/2023,23/11/2021,03/01/2024,73389.19
687,5.92,48,25/09/2023,13/12/2018,29/11/2023,82713.55
688,9.72,48,26/12/2023,30/11/2018,25/06/2023,92082.69
689,5.81,60,22/03/2023,27/04/2022,20/05/2023,53418.45
690,4.2,32,11/10/2023,08/06/2020,25/02/2024,42488.19
691,9.5,54,31/03/2023,17/10/2019,07/11/2023,21559.06
692,8.35,54,10/10/2023,14/01/2019,27/11/2023,84751.21
693,5.18,36,11/03/2024,13/03/2024,20/04/2023,103848.98
694,5.35,59,11/11/2023,16/04/2023,24/01/2024,74854.58
695,10.38,31,26/08/2023,08/08/2023,27/09/2023,96879.63
696,4.97,33,03/10/2023,12/02/2021,04/10/2023,106599.56
697,10.76,58,25/12/2023,12/08/2022,07/06/2023,91296.75
698,3.15,34,08/12/2023,07/03/2019,15/06/2023,62665.22
699,7.18,52,25/06/2023,25/12/2020,22/05/2023,141860.75
700,4.73,57,08/04/2023,12/02/2024,02/09/2023,78159.16
701,7.54,51,01/02/2024,23/04/2021,08/08/2023,117313.49
702,4.06,52,23/02/2023,10/12/2022,26/05/2023,121592.53
703,4.7,52,17/03/2023,28/05/2021,13/06/2023,108298.27
704,8.18,51,17/07/2023,08/06/2019,30/10/2023,105807.67
705,4.86,31,01/04/2023,16/12/2018,15/11/2023,114559.96
706,5.88,55,28/05/2023,15/08/2019,15/06/2023,29224.05
707,8.66,56,25/12/2023,07/10/2023,11/08/2023,133931.24
708,10.1,51,09/11/2023,27/01/2024,28/10/2023,12598.49
709,7.55,42,20/05/2023,26/04/2022,25/04/2024,133031.35
710,10.64,57,16/02/2024,07/05/2020,30/08/2023,121543.39
711,6.9,37,04/09/2023,07/03/2022,23/05/2023,84012.84
712,8.92,57,16/08/2023,09/04/2019,06/10/2023,109394.39
713,10.43,38,10/02/2023,06/10/2019,05/04/2024,131763.62
714,7.75,57,25/01/2024,21/07/2019,23/05/2023,118814.5
715,4.78,42,06/01/2024,17/07/2020,28/10/2023,115653
716,8.31,52,14/07/2023,04/11/2019,23/02/2024,82671.03
717,4.17,53,31/03/2023,17/05/2023,08/11/2023,49925.67
718,7.93,42,20/03/2023,14/11/2019,19/02/2024,51628.35
719,3.93,34,21/06/2023,30/04/2023,21/08/2023,101346.11
720,3.53,41,14/04/2023,17/12/2018,30/10/2023,17237.24
721,6.86,58,21/04/2023,20/03/2020,05/04/2024,92008.66
722,7.87,60,14/02/2024,23/04/2020,25/06/2023,41226.2
723,9.24,45,08/09/2023,16/11/2021,19/09/2023,32146.47
724,8.61,35,22/04/2023,05/04/2021,20/12/2023,107279.37
725,2.75,45,01/04/2023,09/08/2019,04/10/2023,82848.56
726,3.96,53,12/08/2023,11/08/2022,01/05/2023,5670.88
727,10.49,44,23/06/2023,16/03/2020,02/04/2023,117519.75
728,8.58,54,29/05/2023,13/05/2023,25/12/2023,3813.7
729,10.81,30,17/12/2023,03/02/2024,10/07/2023,4145.48
730,9.05,59,14/03/2023,21/11/2022,30/08/2023,113807.04
731,10.4,38,01/03/2023,04/11/2022,12/02/2024,119399.3
732,4.95,56,21/04/2023,06/07/2020,18/06/2023,98467.51
733,4.42,59,05/12/2023,04/07/2022,08/03/2024,145175.64
734,5.91,45,14/05/2023,31/03/2021,11/07/2023,106896.53
735,11.16,35,13/12/2023,14/03/2020,10/05/2023,3299.26
736,9.52,46,01/02/2024,23/03/2021,25/08/2023,5414.13
737,6.04,46,14/05/2023,29/10/2021,15/10/2023,68868.58
738,3.29,59,15/03/2023,06/05/2023,15/12/2023,107380.06
739,7.63,57,12/07/2023,14/11/2018,09/09/2023,95521.39
740,10.3,49,29/12/2023,30/10/2023,02/12/2023,75852.45
741,4.98,42,18/02/2024,21/07/2020,18/10/2023,14929.87
742,10.39,30,14/03/2024,29/12/2021,01/03/2024,58114.42
743,5.38,51,22/02/2024,18/01/2019,10/04/2023,81524.82
744,9.31,60,01/10/2023,19/11/2018,18/04/2023,77569.24
745,7.47,44,06/10/2023,23/06/2021,03/11/2023,137966.4
746,8.32,41,14/04/2023,23/06/2019,09/12/2023,133997.07
747,11.09,51,21/02/2024,15/04/2022,29/12/2023,90485.5
748,6.79,57,28/04/2023,14/06/2021,06/12/2023,75927.18
749,8.54,53,25/02/2023,18/01/2021,13/09/2023,104972.98
750,2.01,60,28/09/2023,19/02/2020,27/04/2023,64118.72
751,7.44,51,11/01/2024,01/08/2020,16/08/2023,47012.08
752,9.86,60,27/08/2023,08/06/2019,03/09/2023,64827.55
753,10.52,36,26/02/2024,16/01/2019,09/09/2023,149425.47
754,11.54,52,29/03/2023,25/02/2021,23/08/2023,85821.28
755,7.46,46,01/10/2023,29/01/2022,01/08/2023,57203.14
756,10.03,37,12/02/2024,10/03/2024,14/03/2024,55434.04
757,3.71,60,02/06/2023,11/11/2020,28/09/2023,125376.4
758,4.45,38,18/02/2023,11/07/2020,28/08/2023,6044.63
759,5.06,33,27/04/2023,29/12/2019,12/10/2023,122188.89
760,9.22,42,05/02/2024,09/07/2021,05/09/2023,42490.54
761,3.3,37,17/09/2023,20/03/2022,25/09/2023,84312.95
762,4.5,58,28/10/2023,12/10/2020,27/05/2023,18145.53
763,2.34,41,25/08/2023,25/11/2022,21/04/2024,111259.59
764,5.22,58,24/09/2023,06/12/2020,10/04/2024,142886.34
765,7.72,53,25/02/2023,02/06/2023,13/06/2023,112987.26
766,9.24,48,03/06/2023,20/12/2021,15/05/2023,35282.89
767,10.67,52,05/01/2024,08/08/2022,03/04/2023,99820.28
768,9.99,35,29/06/2023,17/02/2023,20/09/2023,119369.83
769,10.97,45,03/07/2023,15/02/2019,13/02/2024,101867.98
770,7.14,48,18/02/2024,30/03/2022,30/11/2023,107311.28
771,4.11,43,24/08/2023,12/03/2024,08/09/2023,68418.04
772,9.8,44,19/11/2023,11/12/2023,27/09/2023,140763.61
773,11.83,36,12/01/2024,02/05/2020,14/03/2024,143306.64
774,5.08,35,31/01/2024,27/04/2021,13/05/2023,52512.01
775,11.9,49,03/03/2023,01/05/2021,27/10/2023,114675.94
776,7.91,49,22/03/2023,09/01/2023,29/04/2024,114616.79
777,5.97,30,03/08/2023,07/01/2019,02/09/2023,23696.11
778,4.04,45,08/01/2024,23/04/2022,09/04/2024,37121.12
779,6.33,36,08/03/2023,12/07/2021,19/08/2023,116718.4
780,9.93,52,03/04/2023,03/01/2022,29/08/2023,63935.32
781,9.12,41,05/01/2024,10/03/2019,09/02/2024,139690.45
782,10.56,39,04/11/2023,06/06/2021,20/02/2024,101049.4
783,4.36,43,21/08/2023,27/07/2023,23/09/2023,26876.95
784,3.81,50,23/04/2023,15/07/2020,15/04/2023,32722.25
785,5.49,59,15/10/2023,14/08/2021,12/10/2023,38681.33
786,9.18,30,14/07/2023,12/07/2022,18/09/2023,119128.93
787,11.27,56,16/09/2023,16/12/2020,02/04/2024,53957.58
788,5.6,54,05/03/2023,17/10/2019,05/04/2024,42027.89
789,2.86,55,10/01/2024,17/05/2021,15/11/2023,93545.98
790,5.06,33,22/05/2023,11/10/2019,12/06/2023,125927.74
791,5.71,58,20/04/2023,15/03/2022,04/04/2023,142929.84
792,10.35,55,08/02/2024,12/04/2022,15/04/2023,58835.56
793,3.33,49,24/03/2023,15/09/2023,12/04/2023,110448.99
794,6.87,47,01/09/2023,08/01/2023,20/05/2023,13329.62
795,4.01,49,24/11/2023,16/08/2023,07/05/2023,52253.95
796,9.7,48,02/01/2024,22/09/2019,18/08/2023,51169.62
797,6.91,55,14/11/2023,20/06/2019,26/01/2024,79210.74
798,8.79,39,29/09/2023,12/10/2022,14/07/2023,117620.33
799,7.1,33,29/01/2024,29/11/2019,24/10/2023,136630.22
800,3.35,31,09/11/2023,12/01/2019,09/05/2023,124125.72
801,4.02,55,29/10/2023,26/02/2024,06/12/2023,72842.39
802,8.57,35,15/06/2023,07/09/2023,17/09/2023,119534.1
803,10.85,53,19/08/2023,26/04/2020,27/08/2023,27838.56
804,6.53,35,11/01/2024,15/12/2018,07/05/2023,3580.12
805,7.65,43,15/01/2024,10/12/2023,09/03/2024,78296.64
806,6.45,41,08/08/2023,31/08/2023,09/07/2023,114555.57
807,9.66,44,09/06/2023,16/08/2022,31/03/2024,127559.84
808,9.04,46,11/01/2024,07/01/2020,05/02/2024,104908.16
809,2.75,32,02/05/2023,21/11/2022,20/06/2023,115463.86
810,9.55,59,09/10/2023,19/06/2019,13/09/2023,45769.98
811,10.34,55,12/05/2023,11/12/2022,13/10/2023,39531.27
812,9.63,50,25/06/2023,18/11/2023,30/11/2023,46969.46
813,3.72,51,03/06/2023,12/04/2020,07/01/2024,71721.38
814,6.77,49,09/11/2023,31/05/2022,28/04/2024,96483.58
815,10.88,40,16/05/2023,31/10/2019,13/01/2024,31671.35
816,5.18,49,18/12/2023,28/08/2022,22/09/2023,126556.83
817,11.49,38,08/02/2023,13/07/2021,05/02/2024,107680.43
